,Warehouse id,Region,SKU id,date,sales,sales previous month,isHoli,isDiwali,isSankranti,isChristmas,isSummer,isWinter,month,time_idx
0,Wh-1,NORTH,SKU-1,2018-04-01,27,36.0,0,0,0,0,1,0,4,0
1,Wh-1,NORTH,SKU-1,2018-05-01,13,27.0,0,0,0,0,1,0,5,1
2,Wh-1,NORTH,SKU-1,2018-06-01,30,13.0,0,0,0,0,1,0,6,2
3,Wh-1,NORTH,SKU-1,2018-07-01,14,30.0,0,0,0,0,0,0,7,3
4,Wh-1,NORTH,SKU-1,2018-08-01,22,14.0,0,0,0,0,0,0,8,4
5,Wh-1,NORTH,SKU-1,2018-09-01,8,22.0,0,0,0,0,0,0,9,5
6,Wh-1,NORTH,SKU-1,2018-10-01,8,8.0,0,1,0,0,0,0,10,6
7,Wh-1,NORTH,SKU-1,2018-11-01,8,8.0,0,0,0,0,0,1,11,7
8,Wh-1,NORTH,SKU-1,2018-12-01,8,8.0,0,0,0,1,0,1,12,8
9,Wh-1,NORTH,SKU-1,2019-01-01,8,8.0,0,0,1,0,0,1,1,9
10,Wh-1,NORTH,SKU-1,2019-02-01,8,8.0,0,0,0,0,0,1,2,10
11,Wh-1,NORTH,SKU-1,2019-03-01,13,8.0,1,0,0,0,0,0,3,11
12,Wh-1,NORTH,SKU-1,2019-04-01,53,13.0,0,0,0,0,1,0,4,12
13,Wh-1,NORTH,SKU-1,2019-05-01,19,53.0,0,0,0,0,1,0,5,13
14,Wh-1,NORTH,SKU-1,2019-06-01,8,19.0,0,0,0,0,1,0,6,14
15,Wh-1,NORTH,SKU-1,2019-07-01,12,8.0,0,0,0,0,0,0,7,15
16,Wh-1,NORTH,SKU-1,2019-08-01,14,12.0,0,0,0,0,0,0,8,16
17,Wh-1,NORTH,SKU-1,2019-09-01,12,14.0,0,0,0,0,0,0,9,17
18,Wh-1,NORTH,SKU-1,2019-10-01,18,12.0,0,1,0,0,0,0,10,18
19,Wh-1,NORTH,SKU-1,2019-11-01,8,18.0,0,0,0,0,0,1,11,19
20,Wh-1,NORTH,SKU-1,2019-12-01,8,8.0,0,0,0,1,0,1,12,20
21,Wh-1,NORTH,SKU-1,2020-01-01,8,8.0,0,0,1,0,0,1,1,21
22,Wh-1,NORTH,SKU-1,2020-02-01,8,8.0,0,0,0,0,0,1,2,22
23,Wh-1,NORTH,SKU-1,2020-03-01,14,8.0,1,0,0,0,0,0,3,23
24,Wh-1,NORTH,SKU-1,2020-04-01,8,14.0,0,0,0,0,1,0,4,24
25,Wh-1,NORTH,SKU-1,2020-05-01,9,8.0,0,0,0,0,1,0,5,25
26,Wh-1,NORTH,SKU-1,2020-06-01,8,9.0,0,0,0,0,1,0,6,26
27,Wh-1,NORTH,SKU-1,2020-07-01,8,8.0,0,0,0,0,0,0,7,27
28,Wh-1,NORTH,SKU-1,2020-08-01,12,8.0,0,0,0,0,0,0,8,28
29,Wh-1,NORTH,SKU-1,2020-09-01,8,12.0,0,0,0,0,0,0,9,29
30,Wh-1,NORTH,SKU-1,2020-10-01,8,8.0,0,1,0,0,0,0,10,30
31,Wh-1,NORTH,SKU-1,2020-11-01,8,8.0,0,0,0,0,0,1,11,31
32,Wh-1,NORTH,SKU-1,2020-12-01,8,8.0,0,0,0,1,0,1,12,32
33,Wh-1,NORTH,SKU-1,2021-01-01,8,8.0,0,0,1,0,0,1,1,33
34,Wh-1,NORTH,SKU-1,2021-02-01,14,8.0,0,0,0,0,0,1,2,34
35,Wh-1,NORTH,SKU-1,2021-03-01,16,14.0,1,0,0,0,0,0,3,35
36,Wh-1,NORTH,SKU-1,2021-04-01,8,16.0,0,0,0,0,1,0,4,36
37,Wh-1,NORTH,SKU-1,2021-05-01,12,8.0,0,0,0,0,1,0,5,37
38,Wh-1,NORTH,SKU-10,2018-04-01,8,36.0,0,0,0,0,1,0,4,0
39,Wh-1,NORTH,SKU-10,2018-05-01,8,8.0,0,0,0,0,1,0,5,1
40,Wh-1,NORTH,SKU-10,2018-06-01,8,8.0,0,0,0,0,1,0,6,2
41,Wh-1,NORTH,SKU-10,2018-07-01,8,8.0,0,0,0,0,0,0,7,3
42,Wh-1,NORTH,SKU-10,2018-08-01,8,8.0,0,0,0,0,0,0,8,4
43,Wh-1,NORTH,SKU-10,2018-09-01,8,8.0,0,0,0,0,0,0,9,5
44,Wh-1,NORTH,SKU-10,2018-10-01,8,8.0,0,1,0,0,0,0,10,6
45,Wh-1,NORTH,SKU-10,2018-11-01,8,8.0,0,0,0,0,0,1,11,7
46,Wh-1,NORTH,SKU-10,2018-12-01,8,8.0,0,0,0,1,0,1,12,8
47,Wh-1,NORTH,SKU-10,2019-01-01,8,8.0,0,0,1,0,0,1,1,9
48,Wh-1,NORTH,SKU-10,2019-02-01,8,8.0,0,0,0,0,0,1,2,10
49,Wh-1,NORTH,SKU-10,2019-03-01,588,8.0,1,0,0,0,0,0,3,11
50,Wh-1,NORTH,SKU-10,2019-04-01,406,588.0,0,0,0,0,1,0,4,12
51,Wh-1,NORTH,SKU-10,2019-05-01,129,406.0,0,0,0,0,1,0,5,13
52,Wh-1,NORTH,SKU-10,2019-06-01,169,129.0,0,0,0,0,1,0,6,14
53,Wh-1,NORTH,SKU-10,2019-07-01,110,169.0,0,0,0,0,0,0,7,15
54,Wh-1,NORTH,SKU-10,2019-08-01,114,110.0,0,0,0,0,0,0,8,16
55,Wh-1,NORTH,SKU-10,2019-09-01,299,114.0,0,0,0,0,0,0,9,17
56,Wh-1,NORTH,SKU-10,2019-10-01,240,299.0,0,1,0,0,0,0,10,18
57,Wh-1,NORTH,SKU-10,2019-11-01,331,240.0,0,0,0,0,0,1,11,19
58,Wh-1,NORTH,SKU-10,2019-12-01,364,331.0,0,0,0,1,0,1,12,20
59,Wh-1,NORTH,SKU-10,2020-01-01,346,364.0,0,0,1,0,0,1,1,21
60,Wh-1,NORTH,SKU-10,2020-02-01,149,346.0,0,0,0,0,0,1,2,22
61,Wh-1,NORTH,SKU-10,2020-03-01,352,149.0,1,0,0,0,0,0,3,23
62,Wh-1,NORTH,SKU-10,2020-04-01,8,352.0,0,0,0,0,1,0,4,24
63,Wh-1,NORTH,SKU-10,2020-05-01,106,8.0,0,0,0,0,1,0,5,25
64,Wh-1,NORTH,SKU-10,2020-06-01,108,106.0,0,0,0,0,1,0,6,26
65,Wh-1,NORTH,SKU-10,2020-07-01,148,108.0,0,0,0,0,0,0,7,27
66,Wh-1,NORTH,SKU-10,2020-08-01,237,148.0,0,0,0,0,0,0,8,28
67,Wh-1,NORTH,SKU-10,2020-09-01,244,237.0,0,0,0,0,0,0,9,29
68,Wh-1,NORTH,SKU-10,2020-10-01,235,244.0,0,1,0,0,0,0,10,30
69,Wh-1,NORTH,SKU-10,2020-11-01,140,235.0,0,0,0,0,0,1,11,31
70,Wh-1,NORTH,SKU-10,2020-12-01,524,140.0,0,0,0,1,0,1,12,32
71,Wh-1,NORTH,SKU-10,2021-01-01,396,524.0,0,0,1,0,0,1,1,33
72,Wh-1,NORTH,SKU-10,2021-02-01,252,396.0,0,0,0,0,0,1,2,34
73,Wh-1,NORTH,SKU-10,2021-03-01,945,252.0,1,0,0,0,0,0,3,35
74,Wh-1,NORTH,SKU-10,2021-04-01,92,945.0,0,0,0,0,1,0,4,36
75,Wh-1,NORTH,SKU-10,2021-05-01,40,92.0,0,0,0,0,1,0,5,37
76,Wh-1,NORTH,SKU-100,2018-04-01,91,36.0,0,0,0,0,1,0,4,0
77,Wh-1,NORTH,SKU-100,2018-05-01,11,91.0,0,0,0,0,1,0,5,1
78,Wh-1,NORTH,SKU-100,2018-06-01,171,11.0,0,0,0,0,1,0,6,2
79,Wh-1,NORTH,SKU-100,2018-07-01,171,171.0,0,0,0,0,0,0,7,3
80,Wh-1,NORTH,SKU-100,2018-08-01,99,171.0,0,0,0,0,0,0,8,4
81,Wh-1,NORTH,SKU-100,2018-09-01,11,99.0,0,0,0,0,0,0,9,5
82,Wh-1,NORTH,SKU-100,2018-10-01,99,11.0,0,1,0,0,0,0,10,6
83,Wh-1,NORTH,SKU-100,2018-11-01,187,99.0,0,0,0,0,0,1,11,7
84,Wh-1,NORTH,SKU-100,2018-12-01,327,187.0,0,0,0,1,0,1,12,8
85,Wh-1,NORTH,SKU-100,2019-01-01,115,327.0,0,0,1,0,0,1,1,9
86,Wh-1,NORTH,SKU-100,2019-02-01,227,115.0,0,0,0,0,0,1,2,10
87,Wh-1,NORTH,SKU-100,2019-03-01,11,227.0,1,0,0,0,0,0,3,11
88,Wh-1,NORTH,SKU-100,2019-04-01,211,11.0,0,0,0,0,1,0,4,12
89,Wh-1,NORTH,SKU-100,2019-05-01,603,211.0,0,0,0,0,1,0,5,13
90,Wh-1,NORTH,SKU-100,2019-06-01,11,603.0,0,0,0,0,1,0,6,14
91,Wh-1,NORTH,SKU-100,2019-07-01,491,11.0,0,0,0,0,0,0,7,15
92,Wh-1,NORTH,SKU-100,2019-08-01,299,491.0,0,0,0,0,0,0,8,16
93,Wh-1,NORTH,SKU-100,2019-09-01,11,299.0,0,0,0,0,0,0,9,17
94,Wh-1,NORTH,SKU-100,2019-10-01,39,11.0,0,1,0,0,0,0,10,18
95,Wh-1,NORTH,SKU-100,2019-11-01,51,39.0,0,0,0,0,0,1,11,19
96,Wh-1,NORTH,SKU-100,2019-12-01,27,51.0,0,0,0,1,0,1,12,20
