,item_id,date,Region,p10,p50,p75,p90
0,sku-55,2021-01-01T00:00:00Z,south,3.190658569,233.6560822,295.9312134,391.8220825
1,sku-55,2021-02-01T00:00:00Z,south,38.7532959,263.1179199,403.5531311,516.8806152
2,sku-55,2021-03-01T00:00:00Z,south,-0.707366943,205.27948,347.0026245,458.6113281
3,sku-55,2021-04-01T00:00:00Z,south,16.22786713,211.0204773,296.7808533,405.0897217
4,sku-55,2021-05-01T00:00:00Z,south,-10.62226868,199.628952,274.5080566,345.5678711
5,sku-55,2021-06-01T00:00:00Z,south,-43.66677856,193.251236,295.9663391,367.20047
6,sku-55,2021-07-01T00:00:00Z,south,-56.73605347,186.6513062,253.8300018,399.7608643
7,sku-7,2021-01-01T00:00:00Z,north,58.0012207,690.3581543,920.4004517,1133.572021
8,sku-7,2021-02-01T00:00:00Z,north,6.180175781,680.083252,991.5791016,1291.54541
9,sku-7,2021-03-01T00:00:00Z,north,-205.1503906,458.7139587,802.6505127,1127.87207
10,sku-7,2021-04-01T00:00:00Z,north,133.5871582,587.4397583,841.2506104,970.5785522
11,sku-7,2021-05-01T00:00:00Z,north,113.4156494,755.1959839,968.8436279,1296.017944
12,sku-7,2021-06-01T00:00:00Z,north,174.2285461,667.9912109,901.4591064,1412.079102
13,sku-7,2021-07-01T00:00:00Z,north,193.3370361,761.4713135,995.6643066,1440.869873
0,sku-196,2021-01-01T00:00:00Z,south,12.31381226,90.69445801,127.3667145,155.5581055
1,sku-196,2021-02-01T00:00:00Z,south,22.65587616,82.93238068,119.5263367,173.9242401
2,sku-196,2021-03-01T00:00:00Z,south,-37.12208557,52.18508148,91.84602356,128.2548218
3,sku-196,2021-04-01T00:00:00Z,south,-0.456428528,72.97663116,104.7712402,172.3703918
4,sku-196,2021-05-01T00:00:00Z,south,-20.60153961,55.00019073,112.6895828,134.3722534
5,sku-196,2021-06-01T00:00:00Z,south,-33.15618896,70.27272034,115.8249359,166.1826019
6,sku-196,2021-07-01T00:00:00Z,south,-24.10475159,61.15115738,93.63887787,149.371521
7,sku-204,2021-01-01T00:00:00Z,west,-30.0944263,19.27485182,45.25825581,68.64412994
8,sku-204,2021-02-01T00:00:00Z,west,-60.76854322,30.11472001,77.94723114,120.9979832
9,sku-204,2021-03-01T00:00:00Z,west,-125.4460524,30.90889196,113.1996169,187.2638363
10,sku-204,2021-04-01T00:00:00Z,west,-239.2830191,31.70306391,174.3249765,302.6891469
11,sku-204,2021-05-01T00:00:00Z,west,-441.9618626,32.49723585,282.208451,506.9563343
12,sku-204,2021-06-01T00:00:00Z,west,-803.9429491,33.2914078,473.9338348,870.5257647
13,sku-204,2021-07-01T00:00:00Z,west,-1450.906606,34.08557975,815.6475828,1519.077766
14,sku-206,2021-01-01T00:00:00Z,north,-1293.195931,2995.849889,5253.205364,7284.895709
15,sku-206,2021-02-01T00:00:00Z,north,-2014.405244,3050.982812,5716.932756,8116.370867
16,sku-206,2021-03-01T00:00:00Z,north,-45026.80242,29135.34218,68167.40903,103297.4868
17,sku-206,2021-04-01T00:00:00Z,north,-87426.73652,41726.23402,109700.3657,170879.2046
18,sku-206,2021-05-01T00:00:00Z,north,-37677.95148,14926.94043,42613.27109,67531.83234
19,sku-206,2021-06-01T00:00:00Z,north,-24715.29991,8499.00848,25979.93642,41713.31687
20,sku-206,2021-07-01T00:00:00Z,north,-9449.237476,3649.501892,10543.46206,16748.24126
21,sku-262,2021-01-01T00:00:00Z,east,22.08755457,40.90827625,50.81375662,59.72899793
22,sku-262,2021-02-01T00:00:00Z,east,5.419618344,28.7900202,41.09002976,52.16042205
23,sku-262,2021-03-01T00:00:00Z,east,-7.012848746,19.09370077,32.83376441,45.20025029
24,sku-262,2021-04-01T00:00:00Z,east,-1.112455618,27.34355718,42.32016013,55.79956997
25,sku-262,2021-05-01T00:00:00Z,east,12.57166431,43.53277823,59.82783382,74.49389216
26,sku-262,2021-06-01T00:00:00Z,east,12.90497752,47.35663268,65.48878507,81.80828785
27,sku-262,2021-07-01T00:00:00Z,east,-1.6241433,36.6695884,56.82385314,86.9513201
28,sku-28,2021-01-01T00:00:00Z,east,11.66115298,33.21439696,44.55802335,54.76764095
29,sku-28,2021-02-01T00:00:00Z,east,5.943414286,34.29107025,49.21064422,62.63872621
30,sku-28,2021-03-01T00:00:00Z,east,1.797323064,35.36774353,53.0360958,68.938164
31,sku-28,2021-04-01T00:00:00Z,east,-1.886790696,36.44441681,56.61840534,74.77562432
32,sku-28,2021-05-01T00:00:00Z,east,-5.388213057,37.5210901,60.10456309,80.43039325
33,sku-28,2021-06-01T00:00:00Z,east,-8.841993823,38.59776338,63.56564672,96.02752059
34,sku-28,2021-07-01T00:00:00Z,east,-12.33349472,39.67443666,67.04658273,103.6703681
35,sku-359,2021-01-01T00:00:00Z,west,-42.21907043,68.73758698,119.033783,186.180069
36,sku-359,2021-02-01T00:00:00Z,west,-49.35910416,62.86513901,102.4179688,161.3981934
37,sku-359,2021-03-01T00:00:00Z,west,-36.50087357,45.07780075,86.40945435,124.1277466
38,sku-359,2021-04-01T00:00:00Z,west,-16.86798859,59.54366684,100.2112274,144.9429321
39,sku-359,2021-05-01T00:00:00Z,west,-27.71741867,50.21269608,79.11886597,118.1444702
