,Unnamed: 0,Unnamed: 0.1,Warehouse id,Region,item_id,date,sales,pred,
0,1060,1060,Wh-1,NORTH,SKU-1,01/01/21,8,-3.188515319,-11.18851532
1193,140,140,Wh-2,EAST,SKU-139,01/01/21,39,2.421218747,-36.57878125
1192,135,135,Wh-2,EAST,SKU-138,01/01/21,22,12.84319618,-9.15680382
1191,130,130,Wh-2,EAST,SKU-134,01/01/21,695,29.19648913,-665.8035109
1190,125,125,Wh-2,EAST,SKU-133,01/01/21,2027,100.5045505,-1926.49545
1189,120,120,Wh-2,EAST,SKU-132,01/01/21,1163,48.933353,-1114.066647
1188,115,115,Wh-2,EAST,SKU-13,01/01/21,208,14.78323884,-193.2167612
1187,110,110,Wh-2,EAST,SKU-127,01/01/21,162,16.41655587,-145.5834441
1194,145,145,Wh-2,EAST,SKU-140,01/01/21,1547,25.94372559,-1521.056274
1186,105,105,Wh-2,EAST,SKU-126,01/01/21,131,-3.020055439,-134.0200554
1184,95,95,Wh-2,EAST,SKU-124,01/01/21,725,23.29225183,-701.7077482
1183,90,90,Wh-2,EAST,SKU-123,01/01/21,519,11.22376998,-507.77623
1182,85,85,Wh-2,EAST,SKU-121,01/01/21,340,21.64072182,-318.3592782
1181,80,80,Wh-2,EAST,SKU-120,01/01/21,788,27.86103249,-760.1389675
1180,75,75,Wh-2,EAST,SKU-119,01/01/21,83,8.436884826,-74.56311517
1179,70,70,Wh-2,EAST,SKU-118,01/01/21,2,2.460519365,0.460519365
1178,65,65,Wh-2,EAST,SKU-117,01/01/21,16,-1.831971039,-17.83197104
1185,100,100,Wh-2,EAST,SKU-125,01/01/21,3819,347.4360555,-3471.563945
1195,150,150,Wh-2,EAST,SKU-141,01/01/21,1217,69.81325132,-1147.186749
1196,155,155,Wh-2,EAST,SKU-144,01/01/21,74,7.167565773,-66.83243423
1197,160,160,Wh-2,EAST,SKU-146,01/01/21,65,25.9030181,-39.0969819
1214,245,245,Wh-2,EAST,SKU-172,01/01/21,2,0.860271129,-1.139728871
1213,240,240,Wh-2,EAST,SKU-17,01/01/21,67,14.47651321,-52.52348679
1212,235,235,Wh-2,EAST,SKU-167,01/01/21,30,4.559915417,-25.44008458
1211,230,230,Wh-2,EAST,SKU-166,01/01/21,35,8.569642495,-26.4303575
1210,225,225,Wh-2,EAST,SKU-165,01/01/21,21,1.885886226,-19.11411377
1209,220,220,Wh-2,EAST,SKU-164,01/01/21,6,28.29908861,22.29908861
1208,215,215,Wh-2,EAST,SKU-163,01/01/21,13,-24.92725759,-37.92725759
1207,210,210,Wh-2,EAST,SKU-162,01/01/21,6,3.723847841,-2.276152159
1206,205,205,Wh-2,EAST,SKU-161,01/01/21,16,2.267855932,-13.73214407
1205,200,200,Wh-2,EAST,SKU-158,01/01/21,12,2.734176202,-9.265823798
1204,195,195,Wh-2,EAST,SKU-157,01/01/21,97,6.517929806,-90.48207019
1203,190,190,Wh-2,EAST,SKU-152,01/01/21,15,4.388339625,-10.61166037
1202,185,185,Wh-2,EAST,SKU-151,01/01/21,1732,31.08525002,-1700.91475
1201,180,180,Wh-2,EAST,SKU-150,01/01/21,379,20.69682387,-358.3031761
1200,175,175,Wh-2,EAST,SKU-149,01/01/21,2048,112.7400447,-1935.259955
1199,170,170,Wh-2,EAST,SKU-148,01/01/21,661,25.80045456,-635.1995454
1198,165,165,Wh-2,EAST,SKU-147,01/01/21,543,-10.39371328,-553.3937133
1177,60,60,Wh-2,EAST,SKU-116,01/01/21,9,-3.558503873,-12.55850387
1215,250,250,Wh-2,EAST,SKU-178,01/01/21,20,5.287911371,-14.71208863
1176,55,55,Wh-2,EAST,SKU-115,01/01/21,27,5.949528491,-21.05047151
1174,45,45,Wh-2,EAST,SKU-113,01/01/21,179,13.84484897,-165.155151
2492,4990,4990,Wh-3,WEST,SKU-57,01/01/21,138,9.182852509,-128.8171475
2493,4995,4995,Wh-3,WEST,SKU-58,01/01/21,141,17.64058373,-123.3594163
2494,5000,5000,Wh-3,WEST,SKU-59,01/01/21,461,12.73488331,-448.2651167
